phase,variant,N_a,trials,A_p50_median_us,A_p99_median_us,A_p99_q1_us,A_p99_q3_us,B_p99_median_us,B_p99_q1_us,B_p99_q3_us,A_recv_per_sec_median,B_recv_per_sec_median
bookend_end,broadcast,10,1,,,,,,,,,
bookend_start,broadcast,10,1,1677.0,13591.0,13591.0,13591.0,28591.0,28591.0,28591.0,999.7,1000.3
main,broadcast,10,5,1893.0,12047.0,11943.0,12103.0,28543.0,28495.0,28687.0,999.7,1000.2
main,broadcast,50,5,3751.0,12263.0,12055.0,12975.0,28767.0,28559.0,28911.0,15000.5,3000.2
main,broadcast,100,5,8775.0,22959.0,20415.0,23343.0,37567.0,36383.0,38751.0,55002.6,5500.3
main,broadcast,200,5,24671.0,55551.0,53439.0,57599.0,71871.0,69695.0,73023.0,210003.2,10500.2
main,mutex,10,5,4287.0,12679.0,12607.0,12727.0,28607.0,28479.0,28783.0,999.7,1000.2
main,mutex,50,5,3610.0,12455.0,12191.0,12609.0,28527.0,28127.0,28671.0,15001.15,3002.1000000000004
main,mutex,100,5,8671.0,20559.0,19807.0,23119.0,37151.0,35967.0,38079.0,55000.5,5500.3
main,mutex,200,5,23679.0,53695.0,52415.0,54111.0,68351.0,67775.0,69119.0,210005.9,10500.3
