label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex,N=10,10,12,1,130,1300,108.3,662,1395,1989,2057,2061
mutex,N=25,25,12,1,325,8125,677.1,2569,5291,5855,6027,6111
mutex,N=50,50,12,1,650,32500,2708.3,8367,16911,18751,20047,20175
mutex,N=100,100,12,1,1300,129893,10824.4,34783,55967,62079,64447,64799
mutex,N=200,200,12,1,2600,519040,43253.3,103231,186879,220159,468735,473087
mutex,N=400,400,12,1,5200,2058152,171512.7,287743,963583,1102847,1114111,1158143
broadcast,N=10,10,12,1,130,1220,101.7,704,1033,1118,1231,1236
broadcast,N=25,25,12,1,325,7683,640.2,3215,6911,7383,7823,8003
broadcast,N=50,50,12,1,650,31063,2588.6,7567,21455,24271,25935,26207
broadcast,N=100,100,12,1,1300,124375,10364.6,27103,58559,60159,60447,60575
broadcast,N=200,200,12,1,2600,499538,41628.2,125055,369407,420863,459775,475135
broadcast,N=400,400,12,1,5200,1977336,164778.0,320511,756735,1361919,4829183,7647231
