label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex,N=10,10,15,2000,279,2511,167.4,683,1153,1368,1437,1441
mutex,N=25,25,15,2000,744,17856,1190.4,2609,4923,5967,7155,7291
mutex,N=50,50,15,2000,1519,74396,4959.7,8935,17199,21551,26863,27119
mutex,N=100,100,15,2000,3069,303744,20249.6,32799,55231,60703,66943,67583
mutex,N=200,200,15,2000,6169,1225826,81721.7,89215,227071,358399,511487,517887
mutex,N=400,400,15,2000,12369,5078586,338572.4,2113535,3508223,3854335,4222975,4292607
broadcast,N=10,10,15,2000,279,2458,163.9,663,3867,6415,6475,6483
broadcast,N=25,25,15,2000,744,17321,1154.7,2817,5859,10583,11207,11351
broadcast,N=50,50,15,2000,1519,72153,4810.2,8527,15623,23151,24799,25199
broadcast,N=100,100,15,2000,3069,294594,19639.6,21871,43967,54143,55263,55583
broadcast,N=200,200,15,2000,6169,1188989,79265.9,70399,206847,389119,512767,541695
broadcast,N=400,400,15,2000,12369,5205046,347003.1,437759,5099519,10690559,18530303,22020095
