label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex,N=10,10,15,0,433630,4251318,283421.2,8716287,14114815,15908863,16572415,16875519
mutex,N=25,25,15,0,747517,1818699,121246.6,11173887,16908287,17629183,18366463,18431999
mutex,N=50,50,15,0,1063564,2757681,183845.4,11051007,16556031,17334271,17580031,18382847
mutex,N=100,100,15,0,2569492,2713269,180884.6,13115391,16588799,17825791,18104319,18481151
mutex,N=200,200,15,0,2868596,501856,33457.1,3862527,27787263,28131327,28147711,28147711
mutex,N=400,400,15,0,3099140,581271,38751.4,7086079,29016063,29442047,29474815,29474815
broadcast,N=10,10,15,0,1125301,1196017,79734.5,3350527,10985471,14286847,17301503,17334271
broadcast,N=25,25,15,0,1549937,1969885,131325.7,3311615,13672447,17137663,17727487,18071551
broadcast,N=50,50,15,0,1782553,2475608,165040.5,5574655,15097855,17465343,18071551,18415615
broadcast,N=100,100,15,0,1954083,2924227,194948.5,4685823,15605759,17186815,17989631,18300927
broadcast,N=200,200,15,0,2159584,4527592,301839.5,21102591,25657343,25772031,25853951,26050559
broadcast,N=400,400,15,0,1360306,2885644,192376.3,28278783,28606463,28655615,28704767,28770303
