label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-LOCAL,N=50,50,20,1000,1050,102495,5124.8,27167,47775,50847,53023,54047
mutex-REMOTE,N=50,50,20,1000,1050,102451,5122.6,67455,89855,91775,94207,95167
broadcast-LOCAL,N=50,50,20,1000,1050,100093,5004.6,14343,30799,32991,34431,35071
broadcast-REMOTE,N=50,50,20,1000,1050,101140,5057.0,45791,67583,84607,88255,93311
mutex-LOCAL,N=100,R=1,100,20,1000,2100,400642,20032.1,25647,51839,55743,58719,62207
mutex-REMOTE,N=100,R=1,100,20,1000,2100,410694,20534.7,53247,73471,78335,87359,96895
broadcast-LOCAL,N=100,R=1,100,20,1000,2100,401044,20052.2,29279,48575,53695,57375,60959
broadcast-REMOTE,N=100,R=1,100,20,1000,2100,401448,20072.4,51007,87295,92287,99071,105599
mutex-LOCAL,N=50,R=5,50,20,5000,5050,502474,25123.7,29983,53247,63583,73215,78463
mutex-REMOTE,N=50,R=5,50,20,5000,5050,502300,25115.0,53247,76671,86847,96959,105983
broadcast-LOCAL,N=50,R=5,50,20,5000,5050,500195,25009.8,17391,32047,33631,35903,38335
broadcast-REMOTE,N=50,R=5,50,20,5000,5050,502877,25143.8,36799,53567,55743,58463,60831
mutex-LOCAL,N=100,R=5,100,20,5000,10100,2086624,104331.2,4497407,7684095,8044543,9666559,10305535
mutex-REMOTE,N=100,R=5,100,20,5000,10100,2087555,104377.8,4526079,7712767,8138751,9740287,10330111
broadcast-LOCAL,N=100,R=5,100,20,5000,10100,2002163,100108.1,42623,79679,85311,88575,94655
broadcast-REMOTE,N=100,R=5,100,20,5000,10100,2002948,100147.4,63551,100415,106687,110271,117055
mutex-LOCAL,N=50,R=10,50,20,10000,10050,1002587,50129.3,28415,50175,54271,69503,76927
mutex-REMOTE,N=50,R=10,50,20,10000,10050,1006635,50331.8,51327,73023,77119,92415,100223
broadcast-LOCAL,N=50,R=10,50,20,10000,10050,998196,49909.8,13207,30783,32511,33695,34591
broadcast-REMOTE,N=50,R=10,50,20,10000,10050,1002747,50137.3,35455,52191,54079,55711,57823
