label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-LOCAL,N=50,R=1,50,20,1000,1050,150494,7524.7,15943,30703,32191,36191,42303
mutex-CENTRAL,N=50,R=1,50,20,1000,1050,151401,7570.1,28959,60703,64927,71359,89727
mutex-MEXICO,N=50,R=1,50,20,1000,1050,150991,7549.6,43551,99647,101951,107903,109439
mutex-LOCAL,N=50,R=5,50,20,5000,5050,750462,37523.1,15567,33567,35263,37023,53407
mutex-CENTRAL,N=50,R=5,50,20,5000,5050,753648,37682.4,26207,45087,47807,57631,69375
mutex-MEXICO,N=50,R=5,50,20,5000,5050,753325,37666.2,41471,58687,60767,68991,79807
mutex-LOCAL,N=100,R=5,100,20,5000,10100,3003264,150163.2,29263,53471,60031,63903,70271
mutex-CENTRAL,N=100,R=5,100,20,5000,10100,3004684,150234.2,40095,64479,71679,77183,132351
mutex-MEXICO,N=100,R=5,100,20,5000,10100,3018716,150935.8,54655,78655,85375,89727,106303
broadcast-LOCAL,N=50,R=1,50,20,1000,1050,150632,7531.6,14439,30719,32031,33343,33855
broadcast-CENTRAL,N=50,R=1,50,20,1000,1050,151840,7592.0,25935,58303,62687,64895,72767
broadcast-MEXICO,N=50,R=1,50,20,1000,1050,150917,7545.9,46623,99583,101311,107711,109311
broadcast-LOCAL,N=50,R=5,50,20,5000,5050,747773,37388.7,19423,31423,32383,37695,51455
broadcast-CENTRAL,N=50,R=5,50,20,5000,5050,754404,37720.2,31247,44287,46655,56159,186751
broadcast-MEXICO,N=50,R=5,50,20,5000,5050,751052,37552.6,45087,57087,58815,68287,80575
broadcast-LOCAL,N=100,R=5,100,20,5000,10100,3000726,150036.3,30015,55935,61855,65663,79295
broadcast-CENTRAL,N=100,R=5,100,20,5000,10100,3013995,150699.8,41151,67519,74239,79487,153599
broadcast-MEXICO,N=100,R=5,100,20,5000,10100,3013852,150692.6,55327,81407,87423,91647,106815
